rank	sample_count	gene_count	nmf_runs	best_seed	best_reconstruction_error	best_fit	median_fit	cophenetic_correlation	dispersion	consensus_sharpness	average_silhouette	cluster_sizes	converged_runs
2	33	6000	100	1656868	332.479329783	0.917898211384	0.917898154964	0.955707048252	0.719825160698	0.71106969697	0.860138374197	20;13	100
3	33	6000	100	1756834	313.878006576	0.926827972459	0.926827759885	0.933010323688	0.647714233242	0.63670530303	0.76097702402	11;11;11	98
4	33	6000	100	1856892	296.588495926	0.934667102294	0.934656578484	0.901009136212	0.543252157943	0.528978787879	0.542572413307	8;11;3;11	100
5	33	6000	100	1956822	279.394632899	0.942022506486	0.942022356752	0.942304969145	0.609537557392	0.597335606061	0.608041614424	2;13;9;7;2	100
6	33	6000	100	2056832	262.328054188	0.948889186498	0.94888913759	0.957990292102	0.759731864096	0.752223484848	0.76569531363	2;9;5;9;6;2	100
7	33	6000	100	2156815	249.272318712	0.953850029835	0.953849910794	0.942549148159	0.74125399449	0.733168181818	0.694994813998	2;8;2;4;8;7;2	100
8	33	6000	100	2256846	236.921521145	0.95830995707	0.958309786738	0.945882084902	0.812362167126	0.806498484848	0.727118425983	2;7;2;5;8;4;2;3	100
