run_accession	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	library_name	library_strategy	library_source	library_selection	library_layout	instrument_platform	instrument_model	read_count	base_count	fastq_ftp	fastq_md5	fastq_bytes	first_public
ERR6877942	PRJEB47842	ERP132146	ERX6501370	SAMEA10241753	ERS7898080	E-MTAB-11000:OCM106-T	OCM106-T	OCM106-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	56555840	4254673132	ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/002/ERR6877942/ERR6877942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/002/ERR6877942/ERR6877942_2.fastq.gz	2301f9e0fd380063b6909fa578fdb1d0;749188377791fb126dac47e079d2bbfb	1207983999;1281640814	2021-10-09
ERR6877944	PRJEB47842	ERP132146	ERX6501372	SAMEA10241755	ERS7898082	E-MTAB-11000:OCM132-T	OCM132-T	OCM132-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	55856722	4201298539	ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/004/ERR6877944/ERR6877944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/004/ERR6877944/ERR6877944_2.fastq.gz	ff03ecaf934573a97fa402424424d6ba;44e5bd4d59da79a5a01c64a88f977368	1189519941;1283741080	2021-10-09
ERR6877947	PRJEB47842	ERP132146	ERX6501375	SAMEA10241758	ERS7898085	E-MTAB-11000:OCM203-2-T	OCM203-2-T	OCM203-2-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	57277338	4306400043	ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/007/ERR6877947/ERR6877947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/007/ERR6877947/ERR6877947_2.fastq.gz	edd73e7af156de08887aa3e32a34bf3c;5c1d8c871cbf3982e3f1cbe110c0343a	1314599796;1351704338	2021-10-09
ERR6877950	PRJEB47842	ERP132146	ERX6501378	SAMEA10241761	ERS7898088	E-MTAB-11000:OCM277-2-T	OCM277-2-T	OCM277-2-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	66905172	5030118192	ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/000/ERR6877950/ERR6877950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/000/ERR6877950/ERR6877950_2.fastq.gz	08936e8ec750740ebeb7a17f818d86fc;1eeaeb53f5c50423b99ef98eb9d8b27d	1436037667;1532934432	2021-10-09
ERR6877945	PRJEB47842	ERP132146	ERX6501373	SAMEA10241756	ERS7898083	E-MTAB-11000:OCM148-T	OCM148-T	OCM148-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	75340084	5663856504	ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/005/ERR6877945/ERR6877945_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/005/ERR6877945/ERR6877945_2.fastq.gz	30115603f8259956325b11b8cebf7011;5398945761c5bedac0549a5930277999	1612795879;1724786014	2021-10-09
ERR6877948	PRJEB47842	ERP132146	ERX6501376	SAMEA10241759	ERS7898086	E-MTAB-11000:OCM246-T	OCM246-T	OCM246-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	68075762	5122510390	ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/008/ERR6877948/ERR6877948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/008/ERR6877948/ERR6877948_2.fastq.gz	8f87eed6a798f3be00e16960562177b3;39674ae7f53c8890650c7871591fbd80	1457635175;1579740821	2021-10-09
ERR6877949	PRJEB47842	ERP132146	ERX6501377	SAMEA10241760	ERS7898087	E-MTAB-11000:OCM258-T	OCM258-T	OCM258-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	71062326	5349777015	ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/009/ERR6877949/ERR6877949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/009/ERR6877949/ERR6877949_2.fastq.gz	c20a327f39e52c497e77950f03faf418;695a954f9e86b5347366e3e9ec8261a1	1515621892;1625237362	2021-10-09
ERR6877951	PRJEB47842	ERP132146	ERX6501379	SAMEA10241762	ERS7898089	E-MTAB-11000:OCM292-T	OCM292-T	OCM292-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	61680108	4632164392	ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/001/ERR6877951/ERR6877951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/001/ERR6877951/ERR6877951_2.fastq.gz	cfa5e8398cd80cac4280d5e977245886;597df4ada5a06d33699a98b5a900299d	1309901217;1381182486	2021-10-09
ERR6877941	PRJEB47842	ERP132146	ERX6501369	SAMEA10241752	ERS7898079	E-MTAB-11000:OCM105-T	OCM105-T	OCM105-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	64668182	4868396154	ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/001/ERR6877941/ERR6877941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/001/ERR6877941/ERR6877941_2.fastq.gz	b5e7d657a8ace80921fca489d59cda76;a0d2fc111974ab5a4c96fb27f61ce0fc	1393888856;1513723161	2021-10-09
ERR6877943	PRJEB47842	ERP132146	ERX6501371	SAMEA10241754	ERS7898081	E-MTAB-11000:OCM128-T	OCM128-T	OCM128-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	57280704	4311289992	ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/003/ERR6877943/ERR6877943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR687/003/ERR6877943/ERR6877943_2.fastq.gz	7dd33f8750f2a0a6c3a3bfb044622dfa;4bb9c2a78c157d96818b8d821e0e42d2	1230334308;1322240810	2021-10-09
