run_accession	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	library_name	library_strategy	library_source	library_selection	library_layout	instrument_platform	instrument_model	read_count	base_count	fastq_ftp	fastq_md5	fastq_bytes	first_public
ERR13907039	PRJEB81794	ERP165597	ERX13308858	SAMEA116327840	ERS21376683	E-MTAB-14568:OCM250-2-T	OCM250-2-T	OCM250-2-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	71818678	5402228063	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/039/ERR13907039/ERR13907039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/039/ERR13907039/ERR13907039_2.fastq.gz	9e1ddbea25210b9a9f506d973eac9889;51b2b7413e397803e49993cd2a6f637c	1449411850;1523254040	2025-05-29
ERR13907040	PRJEB81794	ERP165597	ERX13308859	SAMEA116327841	ERS21376684	E-MTAB-14568:OCM267-T	OCM267-T	OCM267-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	55339386	4160872950	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/040/ERR13907040/ERR13907040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/040/ERR13907040/ERR13907040_2.fastq.gz	a2b60341ec3caceae9da92e4f8251b6b;da9fa886d10a8e2fbcf7114bdb58eb02	1120110549;1158771988	2025-05-29
ERR13907041	PRJEB81794	ERP165597	ERX13308860	SAMEA116327842	ERS21376685	E-MTAB-14568:OCM288-4-T	OCM288-4-T	OCM288-4-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	58571622	4321562234	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/041/ERR13907041/ERR13907041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/041/ERR13907041/ERR13907041_2.fastq.gz	df940088bcd74382e9837d96fd963857;0ebd5752d8b433d8f6fa363d03fd98f6	1164488678;1180035431	2025-05-29
ERR13907043	PRJEB81794	ERP165597	ERX13308862	SAMEA116327844	ERS21376687	E-MTAB-14568:OCM293-4-T	OCM293-4-T	OCM293-4-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	63078754	4738322317	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/043/ERR13907043/ERR13907043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/043/ERR13907043/ERR13907043_2.fastq.gz	4993f8a07fb61a8547cf36464f25165c;99dce9e1ca8a8371e447a5651c91bd09	1271889127;1343374198	2025-05-29
ERR13907055	PRJEB81794	ERP165597	ERX13308874	SAMEA116327856	ERS21376699	E-MTAB-14568:OCM327-1-T	OCM327-1-T	OCM327-1-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	145520512	10951097860	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/055/ERR13907055/ERR13907055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/055/ERR13907055/ERR13907055_2.fastq.gz	f6d9a98d55112531ade3497a6e742bd0;a2eae5918b03b47c69d1e657e818e075	2957153949;3081583334	2025-05-29
ERR13907058	PRJEB81794	ERP165597	ERX13308877	SAMEA116327859	ERS21376702	E-MTAB-14568:OCM333-1-T	OCM333-1-T	OCM333-1-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	61621528	3600089886	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/058/ERR13907058/ERR13907058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/058/ERR13907058/ERR13907058_2.fastq.gz	1e070a79b24f4af41e715b0a08967223;483a6a3fede12d8c43ef36c7587b455d	996045386;1043459912	2025-05-29
ERR13907060	PRJEB81794	ERP165597	ERX13308879	SAMEA116327861	ERS21376704	E-MTAB-14568:OCM334-T	OCM334-T	OCM334-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	66931530	3906852901	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/060/ERR13907060/ERR13907060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/060/ERR13907060/ERR13907060_2.fastq.gz	049457b57e40fe86e74da0b9d6d36aaa;541814c1ecd1f62515f02834833e6b38	1074977717;1128158291	2025-05-29
ERR13907061	PRJEB81794	ERP165597	ERX13308880	SAMEA116327862	ERS21376705	E-MTAB-14568:OCM339-T	OCM339-T	OCM339-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	71743226	4187013908	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/061/ERR13907061/ERR13907061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/061/ERR13907061/ERR13907061_2.fastq.gz	ad4921480c2d4b6c58debe7ea32bc171;3268fbed24356923b6c6a22120ef05a9	1155081157;1206195365	2025-05-29
ERR13907062	PRJEB81794	ERP165597	ERX13308881	SAMEA116327863	ERS21376706	E-MTAB-14568:OCM341-1-T	OCM341-1-T	OCM341-1-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	49700774	2897922478	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/062/ERR13907062/ERR13907062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/062/ERR13907062/ERR13907062_2.fastq.gz	1d799ea920b4660f1437c6b6a90cf5b7;7e7c49acfb878910bb414ef85abc67d3	799060641;844630088	2025-05-29
ERR13907064	PRJEB81794	ERP165597	ERX13308883	SAMEA116327865	ERS21376708	E-MTAB-14568:OCM358-T	OCM358-T	OCM358-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	75492870	4407503177	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/064/ERR13907064/ERR13907064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/064/ERR13907064/ERR13907064_2.fastq.gz	8a069a51004456612e5b46ea5849f525;af9f664a116734595865cdc77055bf7e	1220014301;1272263138	2025-05-29
ERR13907065	PRJEB81794	ERP165597	ERX13308884	SAMEA116327866	ERS21376709	E-MTAB-14568:OCM361a-T	OCM361a-T	OCM361a-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	65994756	3849977991	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/065/ERR13907065/ERR13907065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/065/ERR13907065/ERR13907065_2.fastq.gz	696574c2b548aeca156329a80f483ab2;e637a3c773cb039fad598e35078f94df	1069111431;1119145301	2025-05-29
ERR13907067	PRJEB81794	ERP165597	ERX13308886	SAMEA116327868	ERS21376711	E-MTAB-14568:OCM376a-T	OCM376a-T	OCM376a-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	56726926	3313101821	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/067/ERR13907067/ERR13907067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/067/ERR13907067/ERR13907067_2.fastq.gz	7f861b81c96a08a6d311ebc5a252530a;cb549bbae98dae6f01bb239a0cd01709	921192564;954978752	2025-05-29
ERR13907038	PRJEB81794	ERP165597	ERX13308857	SAMEA116327839	ERS21376682	E-MTAB-14568:OCM162-2-T	OCM162-2-T	OCM162-2-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	64897098	4885263523	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/038/ERR13907038/ERR13907038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/038/ERR13907038/ERR13907038_2.fastq.gz	1b376bd38e2e64ce8c071f54ceda2fbc;a7d46910004593acf8e659e52020b9f2	1355884766;1371947096	2025-05-29
