run_accession	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	library_name	library_strategy	library_source	library_selection	library_layout	instrument_platform	instrument_model	read_count	base_count	fastq_ftp	fastq_md5	fastq_bytes	first_public
ERR13907042	PRJEB81794	ERP165597	ERX13308861	SAMEA116327843	ERS21376686	E-MTAB-14568:OCM288-7-T	OCM288-7-T	OCM288-7-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	63440850	4512316827	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/042/ERR13907042/ERR13907042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/042/ERR13907042/ERR13907042_2.fastq.gz	738914f129c0d90f23655f1c6aa2f1f4;3c2607184d7d9e6dad86726c53d8a7dc	1198705551;1240991730	2025-05-29
ERR13907044	PRJEB81794	ERP165597	ERX13308863	SAMEA116327845	ERS21376688	E-MTAB-14568:OCM295-T	OCM295-T	OCM295-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	61811362	4643746247	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/044/ERR13907044/ERR13907044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/044/ERR13907044/ERR13907044_2.fastq.gz	2cf1b24aebbf247da20c7bf45d262b5d;95aa1d394a6712d9b222a10e67c89ba4	1258109641;1310631690	2025-05-29
ERR13907045	PRJEB81794	ERP165597	ERX13308864	SAMEA116327846	ERS21376689	E-MTAB-14568:OCM296-3-T	OCM296-3-T	OCM296-3-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	59735826	3483769439	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/045/ERR13907045/ERR13907045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/045/ERR13907045/ERR13907045_2.fastq.gz	3294bac35ffe111920e8072c3bec7765;c560ac36a2b51a2ba404b8edfff13a25	955993787;1009162266	2025-05-29
ERR13907046	PRJEB81794	ERP165597	ERX13308865	SAMEA116327847	ERS21376690	E-MTAB-14568:OCM296-5-T	OCM296-5-T	OCM296-5-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	51787418	3023635090	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/046/ERR13907046/ERR13907046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/046/ERR13907046/ERR13907046_2.fastq.gz	4cad65b4d618c89231e12c8a7f272ebc;62fb54611c162b788d5fe70c9e301e97	855385504;866107636	2025-05-29
ERR13907049	PRJEB81794	ERP165597	ERX13308868	SAMEA116327850	ERS21376693	E-MTAB-14568:OCM311-T	OCM311-T	OCM311-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	68502864	5159562123	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/049/ERR13907049/ERR13907049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/049/ERR13907049/ERR13907049_2.fastq.gz	72aadfdd84ab911ada4e102f40153217;cdd9d44dc106abeb92dd9effa7f17a22	1391137816;1436245030	2025-05-29
ERR13907053	PRJEB81794	ERP165597	ERX13308872	SAMEA116327854	ERS21376697	E-MTAB-14568:OCM322-T	OCM322-T	OCM322-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	59910426	4511295731	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/053/ERR13907053/ERR13907053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/053/ERR13907053/ERR13907053_2.fastq.gz	60173023163f68f7cbfa1f3986fd0162;00039d3b527f958ec084f315bf6f7a19	1214926820;1265887353	2025-05-29
ERR13907056	PRJEB81794	ERP165597	ERX13308875	SAMEA116327857	ERS21376700	E-MTAB-14568:OCM327-3-T	OCM327-3-T	OCM327-3-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	60492244	4540835675	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/056/ERR13907056/ERR13907056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/056/ERR13907056/ERR13907056_2.fastq.gz	8f718586afa8a2988c5150a8960db239;a9b657cd313b2cdec7bc68142e910f0d	1221755758;1277155203	2025-05-29
ERR13907057	PRJEB81794	ERP165597	ERX13308876	SAMEA116327858	ERS21376701	E-MTAB-14568:OCM328-3-T	OCM328-3-T	OCM328-3-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	74814688	4368513818	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/057/ERR13907057/ERR13907057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/057/ERR13907057/ERR13907057_2.fastq.gz	a8b6932e440452a17145fdf8c4a371b8;1bf4fd891551fdec15cbf68f6a6ea603	1231629146;1295645826	2025-05-29
ERR13907063	PRJEB81794	ERP165597	ERX13308882	SAMEA116327864	ERS21376707	E-MTAB-14568:OCM346-T	OCM346-T	OCM346-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	63661010	3692525225	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/063/ERR13907063/ERR13907063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/063/ERR13907063/ERR13907063_2.fastq.gz	860896f7fb465a027f272c4c24eece28;e6a9582399e6556057270c11c4527114	1014659293;1061799743	2025-05-29
ERR13907066	PRJEB81794	ERP165597	ERX13308885	SAMEA116327867	ERS21376710	E-MTAB-14568:OCM361b-T	OCM361b-T	OCM361b-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	65392590	3822140899	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/066/ERR13907066/ERR13907066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/066/ERR13907066/ERR13907066_2.fastq.gz	961b844961899ca5f74e93781b4b5394;57ffbdb9b10d55a229e16009c787187d	1130183315;1092271157	2025-05-29
ERR13907037	PRJEB81794	ERP165597	ERX13308856	SAMEA116327838	ERS21376681	E-MTAB-14568:OCM130-T	OCM130-T	OCM130-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	66080948	4956653301	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/037/ERR13907037/ERR13907037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/037/ERR13907037/ERR13907037_2.fastq.gz	89e623e2d2105dda6be67e7b769cc2f8;c9ca95bc0d085f6beb3357cb9591e42c	1345272197;1403877915	2025-05-29
ERR13907047	PRJEB81794	ERP165597	ERX13308866	SAMEA116327848	ERS21376691	E-MTAB-14568:OCM301-T	OCM301-T	OCM301-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	66945924	5037736782	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/047/ERR13907047/ERR13907047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/047/ERR13907047/ERR13907047_2.fastq.gz	f13f922b7660e12fb3c91ce8788f312e;6289095ec13f2dfabfcd79b4858bbb5d	1353844692;1423062098	2025-05-29
ERR13907048	PRJEB81794	ERP165597	ERX13308867	SAMEA116327849	ERS21376692	E-MTAB-14568:OCM303-2-T	OCM303-2-T	OCM303-2-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	78417324	4580229548	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/048/ERR13907048/ERR13907048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/048/ERR13907048/ERR13907048_2.fastq.gz	9657b3e9967ab08b9fe4303df62f7790;9701b9cc6751c4c594ed73232ed212ba	1257949445;1319816184	2025-05-29
ERR13907050	PRJEB81794	ERP165597	ERX13308869	SAMEA116327851	ERS21376694	E-MTAB-14568:OCM314-T	OCM314-T	OCM314-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	47075486	3485621730	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/050/ERR13907050/ERR13907050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/050/ERR13907050/ERR13907050_2.fastq.gz	eaf2a3d5119a44e0a4c180ef6aa1df62;b20617ac283b8f017ce8cff62e6bbf59	937525750;973811809	2025-05-29
ERR13907051	PRJEB81794	ERP165597	ERX13308870	SAMEA116327852	ERS21376695	E-MTAB-14568:OCM316-T	OCM316-T	OCM316-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	62564380	4641082778	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/051/ERR13907051/ERR13907051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/051/ERR13907051/ERR13907051_2.fastq.gz	fb83cf104264c8c69a0370791efb8375;8b3cc7d0995767a66e98c84ef6dfc998	1255770344;1277022154	2025-05-29
ERR13907052	PRJEB81794	ERP165597	ERX13308871	SAMEA116327853	ERS21376696	E-MTAB-14568:OCM320-T	OCM320-T	OCM320-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	72775166	5480422766	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/052/ERR13907052/ERR13907052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/052/ERR13907052/ERR13907052_2.fastq.gz	581b993d42c616c1d2047330d235d501;1e4b9dc78df98995d84d6a6ca74edf3f	1466888022;1530152355	2025-05-29
ERR13907054	PRJEB81794	ERP165597	ERX13308873	SAMEA116327855	ERS21376698	E-MTAB-14568:OCM324-T	OCM324-T	OCM324-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	71381980	5032893320	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/054/ERR13907054/ERR13907054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/054/ERR13907054/ERR13907054_2.fastq.gz	5889d183f640281f253086305c5b8482;7cb8dd46bfe596687ab977981263aed1	1333438528;1376569965	2025-05-29
ERR13907059	PRJEB81794	ERP165597	ERX13308878	SAMEA116327860	ERS21376703	E-MTAB-14568:OCM333-3-T	OCM333-3-T	OCM333-3-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	72283490	4223445366	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/059/ERR13907059/ERR13907059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/059/ERR13907059/ERR13907059_2.fastq.gz	14738c1fd014df313eedd645fcfe96f2;f28f7e380e58db81ac716e2733312833	1226413979;1204953411	2025-05-29
ERR13907068	PRJEB81794	ERP165597	ERX13308887	SAMEA116327869	ERS21376712	E-MTAB-14568:OCM74-5-T	OCM74-5-T	OCM74-5-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	67579930	5064833306	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/068/ERR13907068/ERR13907068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/068/ERR13907068/ERR13907068_2.fastq.gz	8b013e0d2c3ef79fc4dd7f32edf49eeb;ff9bb50564f134cadaa66d5372ae4d14	1363008090;1420772915	2025-05-29
ERR13907069	PRJEB81794	ERP165597	ERX13308888	SAMEA116327870	ERS21376713	E-MTAB-14568:OCM83-T	OCM83-T	OCM83-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	62072080	4663038492	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/069/ERR13907069/ERR13907069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/069/ERR13907069/ERR13907069_2.fastq.gz	8415959058d12579a56418943ace4275;386ede6f0f966f0cb4a72c0895a2f670	1260763634;1320926157	2025-05-29
