run_accession	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	library_name	library_strategy	library_source	library_selection	library_layout	instrument_platform	instrument_model	read_count	base_count	fastq_ftp	fastq_md5	fastq_bytes	first_public
ERR2808249	PRJEB28709	ERP110953	ERX2815626	SAMEA4934007	ERS2752798	E-MTAB-7223:Kuramochi	Kuramochi	Kuramochi_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	46545692	7028809603	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/009/ERR2808249/ERR2808249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/009/ERR2808249/ERR2808249_2.fastq.gz	8d9603653c83b0c26d9124d38c359fe2;81ca0ba3e0910cb952373b0028fdf8ed	1972868889;2074073179	2020-03-13
ERR2808255	PRJEB28709	ERP110953	ERX2815632	SAMEA4934013	ERS2752804	E-MTAB-7223:OCM.61a-T	OCM.61a-T	OCM.61a-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	62556684	9427420303	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/005/ERR2808255/ERR2808255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/005/ERR2808255/ERR2808255_2.fastq.gz	8b586ba3ab4b5f3aa5792efffbd7b6d9;75f1e69e8e75df9ed024541711acee39	2645764006;2713654730	2020-03-13
ERR2808258	PRJEB28709	ERP110953	ERX2815635	SAMEA4934016	ERS2752807	E-MTAB-7223:OCM.64-3-T-EpcamNeg	OCM.64-3-T-EpcamNeg	OCM.64-3-T-EpcamNeg_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	68843728	10395668714	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/008/ERR2808258/ERR2808258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/008/ERR2808258/ERR2808258_2.fastq.gz	96fd9c7b7974e35908f22fbfa6858a33;9466691367b8e7968e05af8e6982f637	2938650323;3068869685	2020-03-13
ERR2808260	PRJEB28709	ERP110953	ERX2815637	SAMEA4934018	ERS2752809	E-MTAB-7223:OCM.66-5T	OCM.66-5T	OCM.66-5T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	63294795	9548984737	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/000/ERR2808260/ERR2808260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/000/ERR2808260/ERR2808260_2.fastq.gz	31deee256a5334a7914f0e9fd9800634;33398ad25c3e654153e018e22803cd67	2688768326;2844438758	2020-03-13
ERR2808261	PRJEB28709	ERP110953	ERX2815638	SAMEA4934019	ERS2752810	E-MTAB-7223:OCM.66-T	OCM.66-T	OCM.66-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	59587850	8987636218	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/001/ERR2808261/ERR2808261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/001/ERR2808261/ERR2808261_2.fastq.gz	00020a3a76b1f71b55a2abc08f4c37fb;da9109b35ddc80ff4f9e8af8030667e6	2537061339;2648586147	2020-03-13
ERR2808264	PRJEB28709	ERP110953	ERX2815641	SAMEA4934022	ERS2752813	E-MTAB-7223:OCM.74-3-T	OCM.74-3-T	OCM.74-3-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	86228702	13020946158	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/004/ERR2808264/ERR2808264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/004/ERR2808264/ERR2808264_2.fastq.gz	de4768fe762749cee8f1a15855f194ec;5c2adeba14f6de45051483a8dd630afa	3673389956;3869376836	2020-03-13
ERR2808270	PRJEB28709	ERP110953	ERX2815647	SAMEA4934028	ERS2752819	E-MTAB-7223:OCM.38-S	OCM.38-S	OCM.38-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	71153352	10743446009	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/000/ERR2808270/ERR2808270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/000/ERR2808270/ERR2808270_2.fastq.gz	8b60c37a34e1bdce6e51b5ee41802ea4;1171cf3c5af1a7e7f8c7ae73338252e5	3016143198;3179542099	2020-03-13
ERR2808273	PRJEB28709	ERP110953	ERX2815650	SAMEA4934031	ERS2752822	E-MTAB-7223:OCM.59-S	OCM.59-S	OCM.59-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	39981201	6037083093	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/003/ERR2808273/ERR2808273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/003/ERR2808273/ERR2808273_2.fastq.gz	275e72852325917b8ac0f5cd6e50e30d;ba581493eb716ece486d9ec3c241836a	1727220949;1795019693	2020-03-13
ERR2808276	PRJEB28709	ERP110953	ERX2815653	SAMEA4934034	ERS2752825	E-MTAB-7223:OCM.64-3_S	OCM.64-3_S	OCM.64-3_S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	49698996	7505545818	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/006/ERR2808276/ERR2808276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/006/ERR2808276/ERR2808276_2.fastq.gz	5cc195941ce4bab9c8dae4d7eb0dc722;1c2df9ad493c896404667092a1817e44	2099652488;2210120051	2020-03-13
ERR2808281	PRJEB28709	ERP110953	ERX2815658	SAMEA4934039	ERS2752830	E-MTAB-7223:OCM.74-3-S	OCM.74-3-S	OCM.74-3-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	66498457	10041090198	ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/001/ERR2808281/ERR2808281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/001/ERR2808281/ERR2808281_2.fastq.gz	422a604b6a83e27168dc45908a4a14a5;5240195412e0895d9bc33f6dcce98ac2	2824859603;2982573493	2020-03-13
